PLAYER,TEAM,Period,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Andre Drummond,PHI,Q1,7.2,2.5,1.3,2.8,45.5,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.3,3.5,0.5,0.8,0.5,0.3,0.0,9.0,1.0,0.0,-1.3
Jake LaRavia,LAL,Q1,7.6,2.5,0.8,1.8,44.4,0.3,1.0,30.0,0.6,0.8,75.0,0.1,0.8,0.9,0.8,0.3,0.2,0.1,0.7,5.4,0.0,0.0,0.0
Josh Giddey,CHI,Q1,5.8,2.5,1.0,1.5,66.7,0.5,1.0,50.0,0.0,0.0,0.0,0.5,1.0,1.5,2.0,0.5,0.0,0.0,0.5,6.8,0.0,0.0,-0.5
Patrick Williams,CHI,Q1,5.9,2.5,0.9,2.2,40.9,0.7,1.5,46.7,0.0,0.0,0.0,0.3,0.6,0.9,0.5,0.4,0.3,0.2,0.3,5.4,0.0,0.0,-2.1
Pete Nance,MIL,Q1,4.5,2.5,0.9,1.0,87.5,0.8,0.9,85.7,0.0,0.0,0.0,0.1,0.5,0.6,0.4,0.1,0.1,0.3,0.3,4.8,0.0,0.0,0.5
Simone Fontecchio,MIA,Q1,5.4,2.5,0.7,2.4,29.2,0.4,1.5,26.7,0.7,0.8,87.5,0.5,0.6,1.1,0.4,0.1,0.2,0.1,0.7,5.2,0.0,0.0,4.4
VJ Edgecombe,PHI,Q1,8.4,2.5,1.0,3.1,32.3,0.3,1.5,20.0,0.2,0.2,100,0.6,1.7,2.3,1.4,0.2,0.4,0.2,0.6,9.0,1.0,0.0,0.5
Walter Clayton Jr.,MEM,Q1,5.0,2.5,1.0,2.3,44.4,0.5,1.5,33.3,0.0,0.0,0.0,0.3,0.8,1.0,1.8,1.0,0.5,0.0,1.0,6.8,0.0,0.0,4.5
Draymond Green,GSW,Q1,6.9,2.4,0.9,2.6,34.8,0.6,1.9,29.4,0.1,0.1,100,0.2,1.3,1.6,1.2,0.2,0.3,0.0,0.3,6.9,1.0,0.0,0.3
Ace Bailey,UTA,Q1,7.1,2.4,0.9,3.2,28.1,0.2,1.3,15.4,0.4,0.4,100,0.6,0.8,1.4,0.5,0.2,0.1,0.1,0.1,5.2,0.0,0.0,-1.9
De'Andre Hunter,SAC,Q1,7.3,2.4,0.8,3.0,26.7,0.4,1.8,22.2,0.4,0.4,100,0.2,0.8,1.0,0.2,0.2,0.2,0.0,0.4,4.3,0.0,0.0,-0.8
Gui Santos,GSW,Q1,6.5,2.4,1.0,2.0,50.0,0.2,1.2,16.7,0.2,0.3,66.7,0.1,1.2,1.3,0.9,0.3,0.3,0.3,0.4,6.8,1.0,0.0,0.0
Jaylin Williams,OKC,Q1,6.6,2.4,0.9,2.5,36.0,0.4,1.5,26.7,0.2,0.3,66.7,0.3,2.3,2.6,0.7,0.1,0.3,0.3,0.8,8.3,1.0,0.0,1.4
