"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Luka Doncic","Lal","*","F-G","27","42","35.5","37.9","16.2","456","0.781","491","0.587","432","0.345","0.554","0.614","32.8","7.8","8.5","1.5","0.5","4.3","40.7","41.4","49.2","14.6","119.9","110.7"
"","Shai Gilgeous-Alexander","Okc","*","G","27.6","49","33.3","33.5","9.6","452","0.892","741","0.603","223","0.39","0.599","0.67","31.8","4.4","6.4","1.3","0.8","2.1","36.2","38.2","42.7","11.6","134.5","106.4"
"","Anthony Edwards","Min","*","G","24.5","46","35.5","31.2","11.6","336","0.795","554","0.556","386","0.402","0.575","0.62","29.3","5.2","3.7","1.3","0.8","2.7","34.5","33","38.2","9.3","119.4","111.9"
"","Jaylen Brown","Bos","*","G-F","29.3","49","34.2","36.9","13.7","342","0.775","812","0.532","293","0.348","0.529","0.571","29.3","6.9","4.7","1","0.4","3.6","36.1","34","40.8","11.5","113.3","107.9"
"","Donovan Mitchell","Cle","*","G","29.4","51","33.7","32.6","13","306","0.853","568","0.583","492","0.376","0.574","0.619","29","4.5","5.9","1.5","0.3","3.1","33.5","34.9","39.4","10.9","120.6","111.3"
"","Tyrese Maxey","Phi","*","G","25.3","52","38.6","29.2","10.1","316","0.889","658","0.532","459","0.379","0.547","0.598","28.9","4.1","6.8","2","0.8","2.4","33","35.7","39.8","9.6","122.8","113.5"
"","Nikola Jokic","Den","*","C","31","39","34.3","31","17.8","306","0.84","485","0.654","181","0.42","0.647","0.699","28.7","12.3","10.7","1.4","0.8","3.7","41","39.4","51.7","18.2","139","107.9"
"","Giannis Antetokounmpo","Mil","*","F","31.2","30","29.2","36.3","17","298","0.658","449","0.666","38","0.395","0.66","0.679","28","10","5.6","0.9","0.7","3.3","38","33.6","43.6","15.9","128.4","108"
"","Kawhi Leonard","Lac","*","F","34.6","41","32.8","33.5","9.8","262","0.912","521","0.551","287","0.383","0.559","0.619","27.9","6.4","3.7","2.1","0.5","2.1","34.3","31.6","38","10.6","122.8","113.4"
"","Stephen Curry","Gol","*","G","37.9","39","31.3","32.7","13","204","0.931","296","0.584","448","0.391","0.585","0.636","27.2","3.5","4.8","1.1","0.4","2.8","30.7","32.1","35.6","9.8","119.6","112.7"
"","Jalen Brunson","Nyk","*","G","29.5","50","34.6","30.8","9.7","287","0.847","634","0.528","390","0.374","0.541","0.587","27","3.3","6.1","0.7","0.1","2.2","30.3","33.1","36.4","9.4","122.8","112.7"
"","Lauri Markkanen","Uta","*","F-C","28.7","41","34.4","28","7.2","260","0.892","468","0.556","314","0.363","0.551","0.61","26.7","7","2.1","1","0.5","1.5","33.7","28.8","35.8","8.5","123","120.3"
"","Joel Embiid","Phi","*","C-F","31.9","31","31.3","33.7","14","268","0.858","440","0.543","123","0.317","0.528","0.606","26.6","7.5","3.9","0.6","1.1","3","34.1","30.5","38","11.8","119.7","111.5"
"","Kevin Durant","Hou","*","F","37.4","50","36.7","27.1","15.3","308","0.88","605","0.555","288","0.403","0.571","0.628","25.8","5.3","4.4","0.9","0.9","3.2","31.1","30.3","35.6","9.2","122.5","111.7"
"","Jamal Murray","Den","*","G","29","50","35.6","28.6","10.9","248","0.887","565","0.524","372","0.425","0.569","0.615","25.7","4.4","7.6","1","0.4","2.3","30.1","33.3","37.7","10.7","125.1","117.4"
"","James Harden","Lac","","G","36.5","44","35.4","31.3","17.4","374","0.901","382","0.492","389","0.347","0.506","0.598","25.4","4.8","8.1","1.3","0.4","3.7","30.2","33.5","38.4","11.3","119.4","114.8"
"","Austin Reaves","Lal","*","G","27.7","28","33.5","29.1","17.8","233","0.867","240","0.625","193","0.363","0.589","0.665","25.4","5","6","1","0.2","3.4","30.5","31.4","36.5","10.9","125.4","113.6"
"","Cade Cunningham","Det","*","G","24.4","47","34.9","30.8","16.1","333","0.808","628","0.519","273","0.33","0.512","0.568","25.3","5.6","9.6","1.5","0.8","3.7","31","35","40.6","12.7","118.4","104.8"
"","Deni Avdija","Por","*","F","25.1","46","34.3","29","18.8","434","0.802","471","0.535","295","0.346","0.529","0.605","25.2","7.2","6.6","0.8","0.6","3.9","32.4","31.8","39","12.4","119.6","111.3"
"","Devin Booker","Pho","*","G","29.3","43","33.9","31.2","15.5","344","0.863","544","0.518","238","0.311","0.503","0.58","25.2","4","6.3","0.9","0.3","3.3","29.2","31.5","35.4","10.1","117.3","112"
"","Michael Porter Jr.","Bro","*","F","27.6","41","33","30.3","11.8","178","0.854","373","0.568","390","0.385","0.573","0.61","25","7.2","3.2","1","0.2","2.5","32.2","28.2","35.4","10.1","115.8","113.4"
"","Victor Wembanyama","San","*","F-C","22.1","40","29","32.1","13.8","290","0.81","453","0.576","201","0.363","0.567","0.624","24.4","11.1","2.8","1","2.7","2.6","35.5","27.2","38.2","12.6","119.8","100.3"
"","Keyonte George","Uta","*","G","22.3","48","33.9","27.6","16.8","341","0.894","461","0.516","320","0.375","0.535","0.613","23.8","3.9","6.5","1.1","0.3","3.3","27.6","30.3","34.2","10","117.9","119.9"
"","Pascal Siakam","Ind","*","F","31.9","51","33.8","29.3","10.5","306","0.68","695","0.521","252","0.369","0.53","0.56","23.7","6.7","3.9","1.1","0.5","2.2","30.5","27.7","34.4","10.1","111.4","113.1"
"","Jalen Johnson","Atl","*","F","24.2","50","35.7","27.1","16.6","279","0.778","626","0.558","235","0.353","0.55","0.592","23.3","10.7","8.2","1.3","0.5","3.4","33.9","31.5","42.1","14.2","117","110.6"
"","Norman Powell","Mia","*","G","32.7","45","30.6","27.2","10.9","254","0.843","400","0.538","328","0.396","0.563","0.616","23","3.6","2.6","1.2","0.2","2","26.6","25.5","29.2","7.8","116.8","109.6"
"","Jaren Jackson Jr.","Uta","*","F-C","26.4","3","24.1","36.1","12.4","16","0.875","34","0.559","15","0.333","0.541","0.598","22.3","4.3","2.7","2","0.3","2.3","26.7","25","29.3","10.6","110.2","108.9"
"","Julius Randle","Min","*","F-C","31.2","56","33.6","26.6","14","350","0.823","623","0.563","268","0.325","0.54","0.599","22.3","7","5.4","1.1","0.3","2.6","29.3","27.7","34.7","11.2","121.8","107.9"
"","Trey Murphy III","Nor","*","F","25.7","52","35.6","23.2","10.1","194","0.892","403","0.586","445","0.378","0.575","0.616","22.1","5.7","3.8","1.5","0.3","1.8","27.8","25.9","31.6","8.8","122.8","116.7"
"","LeBron James","Lal","*","F","41.1","36","33.3","28.5","15.9","201","0.746","421","0.58","167","0.305","0.545","0.585","22","5.8","7.1","1.1","0.6","3.1","27.8","29","34.8","11.6","115.9","115.4"
"","Tyler Herro","Mia","*","G","26.1","11","31.7","25","8.6","41","0.902","114","0.579","67","0.358","0.564","0.605","21.9","4.7","2.7","1","0.5","1.5","26.6","24.6","29.4","8.2","117.3","110.2"
"","Brandon Ingram","Tor","*","F","28.5","53","34","27.1","12.7","239","0.837","645","0.518","263","0.365","0.526","0.57","21.8","5.7","3.7","0.8","0.8","2.5","27.5","25.5","31.2","9.1","110.1","111.8"
"","Zion Williamson","Nor","*","F","25.6","40","29.7","27.4","14.4","315","0.711","545","0.587","3","0","0.584","0.629","21.6","6.1","3.5","1","0.6","2.3","27.7","25.1","31.2","10.4","123.3","115"
"","Shaedon Sharpe","Por","*","G","22.7","48","30","30.2","14.5","194","0.784","550","0.518","297","0.34","0.515","0.55","21.4","4.4","2.6","1.4","0.1","3","25.8","24","28.4","8.3","105.8","113.3"
"","Paolo Banchero","Orl","*","F","23.3","43","34.5","26.7","15","340","0.762","508","0.502","162","0.302","0.49","0.559","21.3","8.4","4.8","0.7","0.6","2.7","29.7","26.1","34.5","11","111.6","111.1"
"","Franz Wagner","Orl","*","F","24.5","28","31.8","26.2","10.1","174","0.828","313","0.521","115","0.365","0.528","0.591","21.3","5.8","3.6","1.1","0.3","1.7","27","24.9","30.6","9.6","120.7","110.9"
"","Dillon Brooks","Pho","*","G-F","30.1","49","31.1","28.7","9.4","188","0.856","526","0.504","338","0.343","0.508","0.549","21.2","3.7","1.8","1.1","0.2","1.8","24.9","23","26.7","6.7","109.8","108.4"
"","Alperen Sengun","Hou","*","C","23.6","46","33.9","27","16.3","269","0.691","657","0.524","87","0.299","0.515","0.552","20.7","9.4","6.3","1.3","1","3.2","30.1","27","36.4","12.6","117.2","104.4"
"","Brandon Miller","Cha","*","F","23.2","38","30.5","29.2","14","147","0.891","327","0.48","309","0.366","0.513","0.559","20.6","4.7","3.3","1","0.9","2.7","25.4","23.9","28.7","9","110.1","109"
"","Cooper Flagg","Dal","*","F","19.1","49","34.1","25.2","12","230","0.804","618","0.532","172","0.302","0.515","0.56","20.4","6.6","4.1","1.2","0.8","2.2","26.9","24.5","31.1","9.6","111.6","110.7"
"","Anthony Davis","Dal","*","F-C","32.9","20","31.3","27.6","10.9","81","0.728","297","0.535","37","0.27","0.521","0.551","20.4","11.1","2.8","1.1","1.7","2.1","31.4","23.2","34.2","11","111.7","107.3"
"","Nickeil Alexander-Walker","Atl","*","G","27.5","54","33.2","24.5","11.5","208","0.885","410","0.498","440","0.373","0.529","0.576","20.1","3.6","3.7","1.2","0.6","2","23.7","23.8","27.4","7.8","111.4","115.3"
"","Jimmy Butler","Gol","*","F","36.4","38","31.1","23.2","11.5","287","0.864","376","0.553","85","0.376","0.555","0.647","20","5.6","4.9","1.4","0.2","1.6","25.6","24.9","30.4","10.5","137.1","114.3"
"","Karl-Anthony Towns","Nyk","*","C-F","30.2","51","31.3","25.9","15.3","309","0.854","486","0.521","228","0.351","0.522","0.594","19.8","11.9","2.9","0.9","0.6","2.5","31.7","22.7","34.6","11.3","120.5","100.8"
"","Ty Jerome","Mem","*","G-F","28.6","6","20.2","32.6","12.3","33","0.848","36","0.667","35","0.4","0.634","0.69","19.7","2.2","6","1.2","0.3","1.7","21.8","25.7","27.8","12.6","138.8","108.3"
"","Desmond Bane","Orl","*","G","27.6","53","34","23.5","12.7","200","0.93","523","0.524","274","0.372","0.536","0.588","19.6","4.2","4.2","0.9","0.5","2.2","23.8","23.8","28","8.3","116.8","110.5"
"","Ja Morant","Mem","*","G","26.5","20","28.4","32.4","18","117","0.897","237","0.473","85","0.235","0.441","0.521","19.5","3.3","8.1","1","0.3","3.6","22.7","27.5","30.8","11.3","107","113"
"","De'Aaron Fox","San","*","G","28.2","45","32","25","13.9","166","0.795","419","0.563","255","0.353","0.55","0.585","19.4","3.8","6.3","1.3","0.3","2.4","23.3","25.7","29.5","9.7","117.3","108.6"
"","James Harden","Cle","*","G","36.5","3","32.2","23","24.8","22","0.909","14","0.5","19","0.421","0.576","0.679","19.3","5.3","8.7","0.3","1.3","3.7","24.7","28","33.3","11.9","129.9","112.5"
"","Trae Young","Atl","*","G","27.4","10","28","28.8","16.1","73","0.863","76","0.5","59","0.305","0.481","0.577","19.3","1.5","8.9","1","0.1","2.6","20.8","28.2","29.7","9.1","120.2","115.8"
"","Scottie Barnes","Tor","*","F-G","24.5","54","34.4","24.1","15.1","222","0.82","643","0.555","163","0.301","0.534","0.577","19.3","8.4","5.6","1.3","1.6","2.6","27.7","24.9","33.3","11.3","116.5","106.7"
"","LaMelo Ball","Cha","*","G","24.5","45","27.7","32.1","15.1","113","0.885","337","0.448","427","0.363","0.502","0.533","19.3","4.8","7.4","1.1","0.2","3","24.1","26.6","31.4","12.7","112.9","107.7"
"","Zach LaVine","Sac","*","G","30.9","39","31.4","23.8","11.9","142","0.88","293","0.556","254","0.39","0.569","0.614","19.2","2.8","2.3","0.7","0.3","1.9","21.9","21.5","24.2","6.3","114.5","119.8"
"","Jaren Jackson Jr.","Mem","","F-C","26.4","45","30.7","25.6","13","187","0.797","450","0.531","220","0.359","0.534","0.574","19.2","5.8","1.9","1","1.5","2.2","25","21.1","26.9","7.8","107.7","105.5"
"","Kon Knueppel","Cha","*","G-F","20.5","54","32.1","22.1","14.1","153","0.902","298","0.56","425","0.431","0.611","0.646","18.9","5.5","3.6","0.7","0.2","2.2","24.4","22.5","28","9","124.5","112.1"
"","Jerami Grant","Por","*","F","31.9","40","29.1","24.8","13.7","237","0.827","281","0.495","246","0.374","0.526","0.594","18.8","3.5","2.4","0.7","0.7","2.1","22.3","21.1","24.7","7.4","118.1","113.1"
"","CJ McCollum","Was","","G","34.4","35","30.9","24.3","9.9","102","0.804","285","0.505","244","0.393","0.544","0.573","18.8","3.5","3.6","0.7","0.3","1.7","22.3","22.4","25.9","8","115","121"
"","CJ McCollum","Atl","*","G","34.4","16","28.5","27.5","10.4","49","0.714","147","0.531","102","0.353","0.53","0.553","18.7","3.1","3.5","0.9","0.6","1.8","21.8","22.2","25.3","8.2","107.3","116.7"
"","DeMar DeRozan","Sac","*","G-F","36.5","56","32.4","22.3","7.8","308","0.864","627","0.525","122","0.336","0.521","0.592","18.7","3.2","3.8","1.2","0.3","1.1","21.9","22.5","25.6","7.5","123.7","119.4"
"","Coby White","Chi","*","G","26","29","29.1","27.4","18.3","154","0.805","185","0.541","208","0.346","0.529","0.586","18.6","3.7","4.7","0.7","0.1","3","22.3","23.3","27","9.4","108.5","114.3"
"","Josh Giddey","Chi","*","G","23.3","34","32.1","25.9","20.5","178","0.775","309","0.511","161","0.366","0.524","0.575","18.6","8.6","8.8","0.9","0.3","3.6","27.1","27.4","35.9","14","115","114.4"
"","RJ Barrett","Tor","*","F-G","25.7","31","29.5","25.7","11.1","149","0.705","274","0.562","158","0.342","0.544","0.578","18.5","5.2","3.6","0.8","0.3","1.7","23.8","22.1","27.4","9.5","114.7","108.8"
"","Bam Adebayo","Mia","*","C-F","28.6","48","31.4","24.1","11.2","234","0.782","474","0.494","231","0.338","0.498","0.548","18.4","9.9","2.8","1","0.7","1.9","28.3","21.2","31.1","10.2","112","107.7"
"","Miles Bridges","Cha","*","F","27.9","53","32.2","22.9","9.2","193","0.845","425","0.546","342","0.327","0.522","0.565","18.2","6.1","3.5","0.5","0.5","1.5","24.2","21.6","27.7","9.1","119.7","112.8"
"","Darius Garland","Cle","*","G","26","26","30.5","25.4","16.2","79","0.861","213","0.521","164","0.36","0.529","0.567","18","2.4","6.9","0.8","0.1","2.8","20.4","24.9","27.3","8.8","114.1","115.2"
"","Evan Mobley","Cle","*","C","24.7","42","33.4","21.9","13.4","192","0.635","410","0.593","158","0.304","0.555","0.576","17.9","8.8","4","0.9","2","2.1","26.7","22","30.7","10.3","117.8","109.3"
"","Bennedict Mathurin","Ind","","G-F","23.7","28","31.8","23.1","15.2","146","0.884","202","0.48","156","0.372","0.514","0.589","17.8","5.4","2.3","0.6","0.1","2.3","23.1","20","25.4","7.6","109.8","112.7"
"","Collin Sexton","Chi","*","G","27.1","3","30.8","27.9","18.1","14","0.857","32","0.5","13","0.231","0.456","0.518","17.7","3.7","2","1","0","3.3","21.3","19.7","23.3","6.6","95.6","110.3"
"","Aaron Gordon","Den","*","F","30.4","23","27.9","23.6","8.1","109","0.789","168","0.577","105","0.4","0.586","0.632","17.7","6.2","2.5","0.7","0.2","1","23.8","20.2","26.3","9.3","129","114"
"","Jalen Duren","Det","*","C","22.2","44","27.7","22.6","14.7","232","0.737","480","0.631","0","0","0.631","0.667","17.7","10.4","1.8","0.9","0.8","1.9","28.1","19.4","29.8","10","130.8","100.2"
"","Amen Thompson","Hou","*","G-F","23","52","37.3","20.2","15.6","246","0.785","611","0.548","88","0.205","0.518","0.568","17.6","7.6","5.4","1.4","0.6","2.5","25.2","23","30.6","9.6","121.6","110.8"
"","Jalen Williams","Okc","*","G-F","24.8","26","29.1","26.3","12","102","0.833","301","0.515","64","0.313","0.507","0.555","17.5","4.7","5.4","1.3","0.3","1.9","22.2","22.9","27.6","10.5","114.6","104.4"
"","Andrew Nembhard","Ind","*","G-F","26.1","43","32.1","23.8","15","174","0.816","366","0.489","228","0.364","0.511","0.558","17.4","3","7.5","0.9","0.2","2.4","20.4","24.9","27.8","9.1","113.9","115.9"
"","Chet Holmgren","Okc","*","C-F","23.8","49","29.2","22.1","11.7","201","0.786","393","0.654","175","0.349","0.614","0.651","17.4","8.7","1.6","0.5","1.9","1.5","26.1","19.1","27.8","8.5","126.3","100.9"
"","Kevin Porter Jr.","Mil","*","G-F","25.8","28","33.7","24.6","19.1","118","0.873","258","0.508","124","0.323","0.5","0.559","17.3","5.2","7.6","2.2","0.4","3.2","22.5","24.9","30.1","10.5","112.3","112.9"
"","Derrick White","Bos","*","G","31.6","52","34.2","23.1","10.5","142","0.894","337","0.478","459","0.325","0.483","0.522","17.2","4.4","5.6","1.2","1.4","1.8","21.6","22.8","27.2","8.8","116.6","114.2"
"","Payton Pritchard","Bos","*","G","28","53","32.7","21.3","7.8","104","0.856","362","0.575","382","0.356","0.554","0.578","17.2","4.2","5.3","0.8","0.1","1.2","21.4","22.6","26.7","8.9","128.1","115.4"
"","Alexandre Sarr","Was","*","C","20.8","41","28.2","25.4","10.8","134","0.687","456","0.537","119","0.336","0.53","0.554","17.1","7.8","2.8","0.8","2","1.7","24.9","19.9","27.7","10.2","113.6","116.3"
"","Kristaps Porzingis","Atl","*","F-C","30.5","17","24.3","26.5","7.1","81","0.84","124","0.524","86","0.36","0.531","0.592","17.1","5.1","2.7","0.5","1.3","0.9","22.2","19.8","24.9","10.2","122.7","106.6"
"","Grayson Allen","Pho","*","G","30.4","35","30.3","22.9","11.1","101","0.842","154","0.519","317","0.369","0.542","0.578","17","3","4","1.4","0.3","1.7","20.1","21","24.1","7.8","119.4","112.1"
"","Immanuel Quickley","Tor","*","G","26.7","52","32.4","21.4","10.7","159","0.805","328","0.518","366","0.38","0.545","0.579","17","4.4","6.1","1.2","0.1","1.6","21.4","23.1","27.4","9.5","120.6","111"
"","Ryan Rollins","Mil","*","G","23.6","51","32","23.8","14.6","103","0.757","412","0.505","300","0.407","0.549","0.568","16.9","4.6","5.5","1.5","0.4","2.4","21.5","22.3","26.9","9.4","112","111.8"
"","Nikola Vucevic","Chi","","C","35.3","48","30.8","21.7","9.5","74","0.838","442","0.568","218","0.376","0.567","0.585","16.9","9","3.8","0.7","0.6","1.4","25.9","20.6","29.6","10.8","120.5","113.4"
"","Anfernee Simons","Chi","*","G","26.7","4","31.6","22.5","15.1","3","1","18","0.778","38","0.316","0.571","0.584","16.8","3.5","4.3","0","0.5","2.5","20.3","21","24.5","8","109.8","119.3"
"","Cam Thomas","Mil","*","G","24.3","3","19.5","35.6","11.5","9","1","25","0.52","13","0.385","0.539","0.596","16.7","2","1.7","0","0","1.7","18.7","18.3","20.3","7.9","108.1","123.3"
"","Saddiq Bey","Nor","*","G-F","26.9","49","30.5","20.8","5.3","192","0.844","357","0.518","267","0.348","0.52","0.572","16.6","5.9","2.5","0.9","0","0.7","22.4","19","24.9","8.2","124.8","119.4"
"","O.G. Anunoby","Nyk","*","F-G","28.6","41","33","20.2","14.5","145","0.8","269","0.572","230","0.37","0.564","0.603","16.6","5.5","2.4","1.7","0.7","2.1","22","18.9","24.4","7.3","116.8","108.4"
"","Stephon Castle","San","*","G","21.3","44","30.2","25.3","21.7","255","0.722","376","0.537","160","0.288","0.506","0.56","16.5","5","7","1.3","0.3","3.4","21.5","23.5","28.5","11","111.3","103.2"
"","Onyeka Okongwu","Atl","*","F-C","25.2","50","31.9","20.4","13.5","140","0.779","348","0.566","272","0.379","0.567","0.596","16.2","7.7","3.2","1.2","1","1.9","23.9","19.5","27.2","9.2","115.7","107.4"
"","Anthony Black","Orl","*","G","22.1","53","31.1","22.3","14.8","200","0.755","408","0.532","258","0.345","0.526","0.565","16.1","4","4","1.4","0.7","2.2","20.1","20.1","24.1","8.2","110.4","109.1"
"","Paul George","Phi","*","F","35.8","27","30.5","22.2","11","76","0.855","181","0.464","173","0.382","0.517","0.556","16","5.2","3.7","1.5","0.5","1.6","21.1","19.7","24.9","8.9","113.8","110.3"
"","Andrew Wiggins","Mia","*","F","31","50","31.3","20.3","11.6","116","0.767","400","0.518","248","0.395","0.546","0.57","15.9","5","2.8","1.2","1","1.7","20.9","18.7","23.7","7.7","113.4","109.8"
"","Mikal Bridges","Nyk","*","G-F","29.5","55","34.5","17.5","7.7","70","0.829","388","0.598","306","0.386","0.589","0.604","15.9","4.2","4.1","1.4","0.8","1.1","20.1","20","24.2","7.5","128.7","112.1"
"","Domantas Sabonis","Sac","*","F-C","29.8","19","29.7","23.1","18.7","77","0.727","194","0.593","27","0.185","0.554","0.59","15.8","11.4","4.1","0.9","0.2","2.7","27.2","19.9","31.3","12.2","116.3","107.8"
"","Jrue Holiday","Por","*","G","35.7","27","28.3","23.4","17","58","0.793","175","0.531","171","0.374","0.546","0.571","15.7","4.7","6.4","1.2","0.1","2.6","20.4","22.1","26.9","11","118.6","114.2"
"","Cam Thomas","Bro","","G","24.3","24","24.2","30.1","13.5","107","0.841","191","0.445","117","0.325","0.461","0.527","15.6","1.8","3.1","0.2","0.1","2","17.4","18.7","20.5","7.3","104.9","119.9"
"","Russell Westbrook","Sac","*","G","37.3","52","29.3","25.9","20.6","145","0.697","373","0.501","310","0.345","0.509","0.533","15.3","5.7","6.6","1.3","0.2","3.4","21","21.9","27.6","11.4","104.3","114.6"
"","Matas Buzelis","Chi","*","F","21.3","55","28.3","21.8","14","158","0.778","327","0.569","304","0.372","0.563","0.595","15.2","5.4","2.1","0.6","1.5","1.9","20.5","17.2","22.6","7.9","110.8","113.1"
"","Jaime Jaquez Jr.","Mia","*","G","25","51","28.9","22.2","15.6","163","0.748","520","0.552","102","0.265","0.527","0.56","15.2","5.4","4.7","0.8","0.3","2.3","20.7","20","25.4","10.1","111.8","109.4"
"","Jabari Smith Jr.","Hou","*","F","22.8","52","35.1","17.8","9.5","142","0.775","327","0.514","321","0.358","0.525","0.557","15.2","7.1","1.8","0.8","1","1.3","22.3","17.1","24.1","6.6","119.3","109.1"
"","Naji Marshall","Dal","*","F","28.1","53","29.6","19.2","11.7","209","0.775","396","0.621","156","0.308","0.576","0.62","15.1","4.9","3","1","0.1","1.4","20","18","23","8.2","122.2","111.1"
"","Kyshawn George","Was","*","F","22.2","43","30.1","22.5","18.4","118","0.797","289","0.495","239","0.377","0.527","0.56","15.1","5.4","4.8","1.1","0.9","2.8","20.6","19.9","25.4","9.7","108.1","111.9"
"","Jaden McDaniels","Min","*","F","25.4","54","32.1","18","13.6","135","0.844","407","0.548","183","0.454","0.589","0.623","15","4.3","2.9","1","1","1.7","19.3","17.9","22.1","7.1","121.1","107.8"
"","Ayo Dosunmu","Chi","","G","26.1","45","26.4","21.1","11.1","105","0.857","293","0.556","193","0.451","0.604","0.636","15","3","3.6","0.8","0.3","1.4","18.1","18.7","21.7","8.3","124.7","116.9"
"","Peyton Watson","Den","*","G","23.4","49","30.6","20.3","13.9","176","0.727","352","0.537","180","0.417","0.567","0.6","14.9","4.9","2","1","1.2","1.8","19.8","16.9","21.8","6.9","113.2","112.3"
"","VJ Edgecombe","Phi","*","G","20.5","50","35.4","19.1","12.2","117","0.786","369","0.477","284","0.352","0.499","0.528","14.9","5.4","4.1","1.5","0.5","1.8","20.3","19","24.4","7.8","111.9","110.8"
"","Ayo Dosunmu","Min","*","G","26.1","3","27.9","17.7","5.8","3","1","19","0.684","13","0.385","0.641","0.66","14.7","1","2.7","1.7","0.3","0.7","15.7","17.3","18.3","4.9","132","108.8"
"","Keegan Murray","Sac","*","F","25.5","19","35.9","18.6","7.8","38","0.789","167","0.515","92","0.272","0.477","0.502","14.6","6.1","1.5","1.2","1.6","1.2","20.7","16.1","22.2","5.7","104.2","119.1"
"","Jarrett Allen","Cle","*","C","27.8","43","27.3","18.8","12.9","175","0.749","389","0.635","9","0.111","0.624","0.661","14.6","8.3","2","1","0.9","1.4","22.9","16.6","24.9","9.1","131.4","109.1"
"","Jordan Poole","Nor","*","G","26.7","28","25.4","25.5","13.5","97","0.876","127","0.425","211","0.336","0.475","0.533","14.5","1.8","3.1","0.7","0.3","1.9","16.3","17.6","19.4","6.8","106","115.9"
"","Walker Kessler","Uta","*","C","24.6","5","30.8","16.6","30","20","0.7","29","0.69","8","0.75","0.784","0.786","14.4","10.8","3","1.4","1.8","3.2","25.2","17.4","28.2","10.1","130.1","107.8"
"","Ivica Zubac","Lac","*","C","28.9","43","30.9","19.1","16","132","0.705","429","0.613","0","0","0.613","0.635","14.4","11","2.2","0.4","0.8","1.9","25.4","16.6","27.6","9.1","126.2","109"
"","Naz Reid","Min","*","C-F","26.5","56","26.2","21.8","12.4","84","0.738","284","0.574","351","0.385","0.576","0.59","14.2","6.4","2.5","1","0.9","1.6","20.6","16.7","23.1","9.3","115.2","104.8"
"","Anfernee Simons","Bos","","G","26.7","49","24.5","23.6","9","72","0.889","239","0.502","329","0.395","0.555","0.579","14.2","2.4","2.4","0.6","0.1","1.1","16.6","16.5","18.9","7.1","119.4","113.3"
"","Collin Sexton","Cha","","G","27.1","42","22.3","25.6","17.7","154","0.877","269","0.539","145","0.393","0.557","0.619","14.2","1.9","3.7","0.9","0.2","2.1","16.1","17.9","19.8","8.3","119.6","111.5"
"","Tim Hardaway Jr.","Den","*","G-F","33.9","54","27.5","18.5","4.4","135","0.859","164","0.555","378","0.41","0.597","0.634","14.1","2.6","1.3","0.5","0.1","0.5","16.8","15.4","18.1","5.3","126.9","118.5"
"","P.J. Washington","Dal","*","F","27.5","39","30.7","21.1","14.4","129","0.674","307","0.521","158","0.304","0.499","0.528","14.1","6.9","1.9","1","1.3","2","21.1","16","22.9","7.4","101.4","108.9"
"","Devin Vassell","San","*","G-F","25.5","41","30.8","18.7","7","80","0.85","219","0.507","271","0.354","0.52","0.55","14.1","3.9","2.3","0.9","0.4","0.9","18","16.4","20.3","6.5","113.9","110.6"
"","Jalen Suggs","Orl","*","G","24.7","33","26.7","23.5","18.3","85","0.847","173","0.578","197","0.325","0.53","0.569","14.1","4","5.5","2","0.8","2.5","18.1","19.6","23.6","10.1","111.3","105.2"
"","Ajay Mitchell","Okc","*","G","23.6","43","26.2","22.3","13","131","0.87","319","0.545","137","0.35","0.539","0.59","14.1","3.5","3.7","1.4","0.3","1.6","17.6","17.7","21.2","8.7","117.8","103.7"
"","Jose Alvarado","Nyk","*","G","27.8","3","20.6","25","11.7","6","0.667","8","0.5","22","0.455","0.633","0.643","14","2","3.7","2.3","0.3","1.3","16","17.7","19.7","9.1","127.2","97.4"
"","Scoot Henderson","Por","*","G","22","4","20","28.8","38","23","0.826","10","0.8","19","0.368","0.638","0.716","14","3","5.5","0.8","0","4.5","17","19.5","22.5","12.3","113.6","101.3"
"","De'Andre Hunter","Cle","","F-G","28.2","43","26.2","22.6","12.8","137","0.869","245","0.535","237","0.308","0.499","0.553","14","4.2","2.1","0.7","0.2","1.7","18.2","16","20.3","7.6","109.1","109"
"","Obi Toppin","Ind","*","F","27.9","3","27.4","23.7","14.1","9","1","19","0.632","17","0.176","0.458","0.526","14","6.7","1.7","1","0","2","20.7","15.7","22.3","7.9","100.1","109.9"
"","Santi Aldama","Mem","*","F-C","25.1","43","27.9","20.1","10.4","114","0.667","276","0.572","200","0.35","0.553","0.572","14","6.7","2.9","0.9","0.7","1.3","20.7","16.9","23.6","9.3","117.3","112"
"","Kelly Oubre Jr.","Phi","*","F-G","30.2","32","32.7","17.1","11","90","0.744","183","0.557","158","0.367","0.554","0.585","13.9","4.7","1.6","1.3","0.6","1.3","18.6","15.5","20.2","5.8","115","111.5"
"","Jaylon Tyson","Cle","*","G-F","23.2","50","27.8","18.7","13.2","84","0.75","293","0.543","219","0.475","0.615","0.631","13.9","5.4","2.3","0.9","0.4","1.6","19.3","16.2","21.6","8","123","109.6"
