"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Jeremy Sochan","San","*","F","22.7","28","12.8","14.7","15.2","16","0.688","65","0.6","35","0.257","0.525","0.542","4.1","2.6","1","0.4","0.2","0.6","6.8","5.1","7.7","6.9","112.1","101"
"","Liam McNeeley","Cha","*","F","20.3","28","12.2","14","12","31","0.806","30","0.4","58","0.379","0.511","0.566","4.1","2.1","0.8","0.2","0.1","0.4","6.3","4.9","7.1","6.2","119.6","108.3"
"","Mac McClung","Chi","*","G","27.1","1","13.5","25","12.5","0","0","5","0.4","2","0","0.286","0.286","4","1","1","0","1","1","5","5","6","4.7","59","109.8"
"","Brandon Clarke","Mem","*","F","29.4","2","10.2","21.9","0","4","0.5","9","0.333","0","0","0.333","0.372","4","3","0.5","1","0","0","7","4.5","7.5","7.1","105.3","90.7"
"","Doug McDermott","Sac","*","F","34.1","11","10.1","16.9","13.6","0","0","1","1","37","0.378","0.579","0.579","4","0.7","0.3","0.2","0.1","0.5","4.7","4.3","5","3.7","100.1","121"
"","Tony Bradley","Ind","*","C-F","28.1","38","11","14.4","13.8","43","0.744","104","0.558","2","0.5","0.561","0.604","4","2.8","0.5","0.2","0.2","0.4","6.8","4.5","7.3","6.5","128.7","107.2"
"","Christian Koloko","Atl","*","C","25.7","7","15.1","12.2","16.4","2","1","21","0.524","4","0.25","0.5","0.522","3.9","3","0.6","0.3","1","0.7","6.9","4.4","7.4","5.1","103.2","100"
"","Jahmai Mashack","Mem","*","G","23.3","12","11.8","16.1","16.4","0","0","23","0.565","23","0.304","0.511","0.511","3.9","1.3","1","1.4","0.1","0.8","5.3","4.9","6.3","5.8","96.8","105.8"
"","DaRon Holmes II","Den","*","F","23.5","15","11.7","12.8","10.3","8","0.75","9","0.556","34","0.412","0.605","0.623","3.9","1.6","1","0","0.3","0.3","5.5","4.9","6.5","6.3","127.2","113.8"
"","Keaton Wallace","Atl","*","G","27","40","11.1","15.3","13.9","11","0.545","52","0.442","84","0.405","0.544","0.547","3.9","1.2","2","0.5","0.1","0.6","5","5.9","7","7.6","112.3","112.3"
"","A.J. Lawson","Tor","*","G","25.6","13","8.4","19.1","8.8","9","1","19","0.421","22","0.364","0.488","0.545","3.8","1.8","0.2","0.3","0.2","0.3","5.5","4","5.8","5.3","112.4","101.8"
"","Hugo Gonzalez","Bos","*","G","20","49","15.2","11.7","15.1","21","0.476","87","0.575","76","0.329","0.537","0.537","3.8","3.3","0.6","0.6","0.2","0.6","7.1","4.3","7.7","5.2","109.9","103.2"
"","Baylor Scheierman","Bos","*","G","25.4","49","14.4","10.7","12.5","14","0.857","38","0.605","109","0.394","0.595","0.61","3.8","2.8","1","0.6","0.1","0.4","6.6","4.8","7.6","6.1","126.6","105.8"
